session_id,customer_sk,channel_sk,source,device,date_sk,converted_flag,orders_attributed,revenue_attributed
11000000000,791,1,ads,desktop,20240202,0,0,0.0
11000000001,332,1,direct,desktop,20250726,0,0,0.0
11000000003,771,1,ads,mobile,20240324,0,0,0.0
11000000004,908,1,direct,mobile,20240822,0,0,0.0
11000000005,1222,1,referral,mobile,20240322,0,0,0.0
11000000006,490,1,ads,mobile,20241003,0,0,0.0
11000000007,705,1,ads,mobile,20241011,0,0,0.0
11000000008,1161,1,direct,mobile,20250311,0,0,0.0
11000000009,841,1,ads,mobile,20240430,0,0,0.0
11000000011,162,1,social,mobile,20240209,1,1,35574.0
11000000013,1477,1,ads,mobile,20250914,0,0,0.0
11000000015,60,1,ads,desktop,20250828,0,0,0.0
11000000016,520,1,direct,mobile,20240322,0,0,0.0
11000000020,575,1,direct,mobile,20240528,0,0,0.0
11000000021,508,1,direct,desktop,20250427,0,0,0.0
11000000024,99,1,direct,mobile,20240811,0,0,0.0
11000000025,1277,1,ads,mobile,20250424,0,0,0.0
11000000027,95,1,direct,tablet,20250503,0,0,0.0
11000000028,1286,1,direct,mobile,20250326,0,0,0.0
11000000029,1176,1,direct,mobile,20240307,0,0,0.0
11000000030,1053,1,ads,desktop,20241001,0,0,0.0
11000000031,290,1,ads,mobile,20240727,0,0,0.0
11000000032,357,1,direct,mobile,20240117,0,0,0.0
11000000033,391,1,ads,mobile,20240105,0,0,0.0
11000000034,830,1,direct,desktop,20250830,0,0,0.0
11000000035,1076,1,ads,desktop,20250722,0,0,0.0
11000000037,622,1,email,desktop,20250109,0,0,0.0
11000000038,990,1,social,mobile,20250509,0,0,0.0
11000000039,902,1,direct,desktop,20250415,0,0,0.0
11000000040,572,1,direct,mobile,20250723,0,0,0.0
11000000041,1088,1,direct,mobile,20240122,0,0,0.0
11000000042,1101,1,referral,mobile,20241109,0,0,0.0
11000000043,833,1,direct,mobile,20240531,0,0,0.0
11000000045,1371,1,direct,mobile,20241228,0,0,0.0
11000000046,1090,1,direct,mobile,20240628,0,0,0.0
11000000047,250,1,direct,mobile,20250219,0,0,0.0
11000000048,135,1,direct,desktop,20250807,0,0,0.0
11000000049,334,1,direct,mobile,20241124,0,0,0.0
11000000050,779,1,direct,mobile,20250807,0,0,0.0
11000000051,1396,1,email,desktop,20240124,0,0,0.0
11000000054,732,1,direct,mobile,20250329,0,0,0.0
11000000055,1267,1,ads,desktop,20250611,0,0,0.0
11000000056,298,1,direct,mobile,20241129,0,0,0.0
11000000057,933,1,ads,mobile,20241019,0,0,0.0
11000000058,550,1,email,desktop,20240225,0,0,0.0
11000000060,342,1,social,mobile,20250617,0,0,0.0
11000000061,568,1,referral,mobile,20240109,0,0,0.0
11000000062,498,1,email,tablet,20240823,0,0,0.0
11000000064,1109,1,direct,desktop,20250805,0,0,0.0
11000000065,1211,1,ads,mobile,20240718,0,0,0.0
11000000066,1443,1,direct,mobile,20241227,0,0,0.0
11000000067,811,1,email,desktop,20241001,0,0,0.0
11000000068,1160,1,direct,desktop,20250811,0,0,0.0
11000000069,455,1,direct,mobile,20240330,0,0,0.0
11000000070,601,1,direct,mobile,20240608,0,0,0.0
11000000071,431,1,ads,mobile,20240831,0,0,0.0
11000000073,80,1,ads,mobile,20250909,0,0,0.0
11000000075,859,1,direct,mobile,20241207,0,0,0.0
11000000078,233,1,ads,mobile,20240220,0,0,0.0
11000000079,1176,1,direct,desktop,20240219,0,0,0.0
11000000082,181,1,direct,mobile,20240924,0,0,0.0
11000000083,1064,1,ads,mobile,20240406,0,0,0.0
11000000084,166,1,direct,mobile,20250608,0,0,0.0
11000000085,1230,1,referral,mobile,20240531,0,0,0.0
11000000087,747,1,direct,mobile,20240120,0,0,0.0
11000000088,927,1,ads,tablet,20240101,0,0,0.0
11000000089,1009,1,direct,mobile,20250129,0,0,0.0
11000000090,1334,1,social,mobile,20250528,0,0,0.0
11000000091,51,1,email,desktop,20240929,0,0,0.0
11000000092,1436,1,referral,mobile,20241021,0,0,0.0
11000000093,859,1,direct,desktop,20250120,0,0,0.0
11000000094,1298,1,referral,mobile,20240922,0,0,0.0
11000000095,51,1,direct,mobile,20241201,0,0,0.0
11000000096,885,1,ads,mobile,20241002,0,0,0.0
11000000097,505,1,direct,mobile,20240617,0,0,0.0
11000000099,1,1,direct,mobile,20240211,0,0,0.0
11000000100,781,1,direct,desktop,20241229,0,0,0.0
11000000101,540,1,ads,mobile,20240328,0,0,0.0
11000000106,718,1,direct,mobile,20240322,0,0,0.0
11000000108,937,1,social,mobile,20250222,0,0,0.0
11000000109,855,1,ads,mobile,20241217,0,0,0.0
11000000110,1396,1,direct,mobile,20250212,0,0,0.0
11000000111,465,1,email,mobile,20250820,0,0,0.0
11000000115,785,1,ads,desktop,20240707,0,0,0.0
11000000116,49,1,ads,desktop,20250325,0,0,0.0
11000000117,725,1,email,desktop,20240303,0,0,0.0
11000000118,647,1,ads,mobile,20241006,0,0,0.0
11000000119,1014,1,direct,mobile,20250701,0,0,0.0
11000000120,892,1,direct,mobile,20250424,0,0,0.0
11000000121,130,1,referral,mobile,20250202,0,0,0.0
11000000122,633,1,referral,desktop,20240525,0,0,0.0
11000000124,532,1,direct,mobile,20241228,0,0,0.0
11000000125,997,1,email,desktop,20241130,0,0,0.0
11000000126,11,1,direct,mobile,20250814,0,0,0.0
11000000128,1331,1,referral,mobile,20240201,0,0,0.0
11000000130,1084,1,ads,mobile,20240228,0,0,0.0
11000000131,1201,1,email,mobile,20250929,0,0,0.0
11000000133,367,1,email,mobile,20250821,0,0,0.0
11000000134,710,1,direct,mobile,20240304,0,0,0.0
11000000136,1389,1,email,desktop,20240125,0,0,0.0
11000000138,1160,1,email,desktop,20240609,0,0,0.0
11000000139,1252,1,ads,tablet,20250630,0,0,0.0
11000000141,1438,1,ads,mobile,20241217,0,0,0.0
11000000142,670,1,social,mobile,20240726,0,0,0.0
11000000144,1207,1,ads,tablet,20240814,0,0,0.0
11000000145,1110,1,ads,tablet,20241118,0,0,0.0
11000000146,94,1,ads,desktop,20240529,0,0,0.0
11000000147,1158,1,direct,mobile,20240421,0,0,0.0
11000000149,252,1,direct,mobile,20250219,0,0,0.0
11000000150,625,1,ads,desktop,20240319,0,0,0.0
11000000151,919,1,email,desktop,20240513,0,0,0.0
11000000152,1053,1,ads,mobile,20240807,0,0,0.0
11000000153,1381,1,direct,desktop,20241026,0,0,0.0
11000000154,591,1,social,mobile,20250524,0,0,0.0
11000000155,1452,1,direct,mobile,20240910,0,0,0.0
11000000156,864,1,direct,desktop,20240809,0,0,0.0
11000000157,744,1,ads,mobile,20240110,0,0,0.0
11000000158,653,1,ads,mobile,20240918,0,0,0.0
11000000159,974,1,direct,mobile,20250515,0,0,0.0
11000000163,1105,1,ads,tablet,20240717,0,0,0.0
11000000164,1211,1,ads,desktop,20250907,0,0,0.0
11000000167,1017,1,ads,desktop,20250422,0,0,0.0
11000000168,267,1,direct,mobile,20240310,0,0,0.0
11000000169,1228,1,direct,desktop,20250219,0,0,0.0
11000000170,1121,1,direct,mobile,20250829,0,0,0.0
11000000172,1380,1,email,mobile,20241022,0,0,0.0
11000000174,605,1,email,mobile,20240729,0,0,0.0
11000000176,1309,1,social,desktop,20250822,0,0,0.0
11000000177,1393,1,direct,mobile,20250313,0,0,0.0
11000000178,331,1,ads,mobile,20240815,0,0,0.0
11000000179,1288,1,referral,mobile,20241211,0,0,0.0
11000000180,524,1,ads,mobile,20250725,0,0,0.0
11000000181,1374,1,social,mobile,20250412,0,0,0.0
11000000182,67,1,referral,desktop,20250510,0,0,0.0
11000000184,662,1,direct,mobile,20250911,0,0,0.0
11000000185,1332,1,ads,mobile,20250915,0,0,0.0
11000000186,1163,1,direct,mobile,20241203,0,0,0.0
11000000187,665,1,direct,desktop,20240121,0,0,0.0
11000000188,1409,1,direct,mobile,20250302,0,0,0.0
11000000189,502,1,direct,mobile,20250607,0,0,0.0
11000000190,744,1,direct,desktop,20250725,0,0,0.0
11000000191,686,1,direct,desktop,20240725,0,0,0.0
11000000193,145,1,direct,desktop,20240609,0,0,0.0
11000000195,865,1,direct,mobile,20240210,0,0,0.0
11000000197,1167,1,referral,mobile,20240120,0,0,0.0
11000000200,170,1,ads,desktop,20250511,0,0,0.0
11000000201,958,1,direct,mobile,20240408,0,0,0.0
11000000203,541,1,email,desktop,20250529,0,0,0.0
11000000204,119,1,ads,desktop,20250608,0,0,0.0
11000000205,228,1,ads,mobile,20240210,0,0,0.0
11000000206,1315,1,ads,desktop,20240707,0,0,0.0
11000000207,535,1,ads,mobile,20240124,0,0,0.0
11000000209,601,1,ads,desktop,20250904,0,0,0.0
11000000211,1417,1,direct,mobile,20250531,0,0,0.0
11000000213,436,1,ads,desktop,20241114,0,0,0.0
11000000214,706,1,ads,mobile,20240121,0,0,0.0
11000000215,951,1,direct,mobile,20240919,0,0,0.0
11000000216,1266,1,ads,mobile,20240419,0,0,0.0
11000000217,928,1,direct,desktop,20250820,0,0,0.0
11000000219,1222,1,ads,mobile,20240907,0,0,0.0
11000000220,529,1,direct,mobile,20240421,0,0,0.0
11000000221,819,1,referral,mobile,20250830,0,0,0.0
11000000222,1148,1,referral,mobile,20250328,0,0,0.0
11000000224,834,1,ads,mobile,20240417,0,0,0.0
11000000225,604,1,ads,desktop,20241001,0,0,0.0
11000000227,293,1,referral,mobile,20250807,0,0,0.0
11000000228,1335,1,direct,desktop,20250914,0,0,0.0
11000000229,236,1,ads,mobile,20250306,0,0,0.0
11000000230,675,1,referral,desktop,20240822,0,0,0.0
11000000231,1493,1,direct,mobile,20241123,0,0,0.0
11000000234,448,1,ads,mobile,20250531,0,0,0.0
11000000236,1444,1,direct,mobile,20240805,0,0,0.0
11000000237,22,1,email,mobile,20240805,0,0,0.0
11000000238,1330,1,ads,mobile,20250208,0,0,0.0
11000000239,199,1,ads,desktop,20250706,0,0,0.0
11000000240,662,1,ads,desktop,20240220,0,0,0.0
11000000241,347,1,email,tablet,20250405,0,0,0.0
11000000243,1449,1,direct,mobile,20240324,0,0,0.0
11000000244,820,1,direct,mobile,20240318,0,0,0.0
11000000245,128,1,ads,mobile,20250806,0,0,0.0
11000000246,684,1,ads,mobile,20240602,0,0,0.0
11000000248,740,1,direct,mobile,20240715,0,0,0.0
11000000252,1107,1,ads,mobile,20240321,0,0,0.0
11000000256,1013,1,ads,mobile,20240621,0,0,0.0
11000000258,902,1,direct,mobile,20240104,0,0,0.0
11000000260,745,1,direct,desktop,20250408,0,0,0.0
11000000261,1292,1,direct,desktop,20240326,0,0,0.0
11000000262,476,1,email,tablet,20240717,0,0,0.0
11000000263,502,1,direct,mobile,20250523,0,0,0.0
11000000264,679,1,ads,desktop,20240903,0,0,0.0
11000000268,1027,1,ads,mobile,20240616,0,0,0.0
11000000269,365,1,referral,mobile,20250822,0,0,0.0
11000000270,128,1,direct,mobile,20250114,0,0,0.0
11000000271,855,1,direct,mobile,20250213,0,0,0.0
11000000273,112,1,ads,mobile,20240903,0,0,0.0
11000000274,57,1,ads,desktop,20250520,0,0,0.0
11000000275,1231,1,ads,mobile,20250820,0,0,0.0
11000000276,221,1,ads,mobile,20250603,0,0,0.0
11000000277,835,1,email,mobile,20240611,0,0,0.0
