nps_id,date_sk,channel_sk,customer_id,score,is_detractor,is_passive,is_promoter,comment
13000000000,20240601,2,1083,10,0,0,1,
13000000001,20240311,2,1383,5,1,0,0,Volvería a comprar
13000000002,20240411,2,179,10,0,0,1,Atención muy buena
13000000003,20240630,2,566,7,0,1,0,Todo perfecto
13000000004,20250205,2,1004,8,0,1,0,Atención muy buena
13000000005,20250614,2,1261,10,0,0,1,Tardó un poco más de lo esperado
13000000006,20240419,2,1376,6,1,0,0,Todo perfecto
13000000007,20240703,2,837,3,1,0,0,Volvería a comprar
13000000008,20250721,2,994,7,0,1,0,Todo perfecto
13000000009,20240413,2,192,8,0,1,0,Entrega rápida y producto excelente
13000000010,20241104,2,1330,6,1,0,0,
13000000011,20250703,1,442,0,1,0,0,Atención muy buena
13000000012,20250430,2,57,7,0,1,0,Atención muy buena
13000000013,20250807,2,559,8,0,1,0,Entrega rápida y producto excelente
13000000014,20250416,2,130,10,0,0,1,Muy conforme con la calidad
13000000015,20240626,1,238,4,1,0,0,Volvería a comprar
13000000016,20250417,2,629,8,0,1,0,Entrega rápida y producto excelente
13000000017,20240520,1,1162,7,0,1,0,Entrega rápida y producto excelente
13000000018,20241005,1,80,9,0,0,1,Entrega rápida y producto excelente
13000000019,20240319,1,1233,2,1,0,0,Muy conforme con la calidad
13000000020,20240810,2,217,2,1,0,0,Entrega rápida y producto excelente
13000000021,20250819,1,1015,5,1,0,0,Volvería a comprar
13000000022,20240408,1,1086,7,0,1,0,Atención muy buena
13000000023,20240128,2,692,9,0,0,1,Muy conforme con la calidad
13000000024,20241026,2,960,6,1,0,0,Podría mejorar el empaque
13000000025,20250330,1,695,2,1,0,0,Volvería a comprar
13000000026,20250607,2,438,10,0,0,1,Volvería a comprar
13000000027,20250508,2,564,9,0,0,1,Muy conforme con la calidad
13000000028,20250525,2,1261,7,0,1,0,Volvería a comprar
13000000029,20240610,1,1122,4,1,0,0,Atención muy buena
13000000030,20251006,2,1427,5,1,0,0,Muy conforme con la calidad
13000000031,20240830,2,661,10,0,0,1,Podría mejorar el empaque
13000000032,20250208,1,1055,8,0,1,0,Todo perfecto
13000000033,20250308,1,321,8,0,1,0,Podría mejorar el empaque
13000000034,20240722,2,500,10,0,0,1,Atención muy buena
13000000035,20240618,2,544,8,0,1,0,Volvería a comprar
13000000036,20240723,1,1405,8,0,1,0,Atención muy buena
13000000037,20240831,2,952,5,1,0,0,Podría mejorar el empaque
13000000038,20241229,1,128,3,1,0,0,Entrega rápida y producto excelente
13000000039,20250702,1,342,8,0,1,0,Tardó un poco más de lo esperado
13000000040,20240521,1,19,3,1,0,0,Podría mejorar el empaque
13000000041,20240722,2,189,8,0,1,0,Muy conforme con la calidad
13000000042,20250907,2,797,4,1,0,0,Todo perfecto
13000000043,20241211,1,1004,8,0,1,0,Entrega rápida y producto excelente
13000000044,20250330,1,426,9,0,0,1,Todo perfecto
13000000045,20250813,2,1026,8,0,1,0,Muy conforme con la calidad
13000000046,20250419,1,812,7,0,1,0,
13000000047,20240313,2,994,10,0,0,1,Entrega rápida y producto excelente
13000000048,20250723,1,1171,10,0,0,1,
13000000049,20250326,1,1207,2,1,0,0,Podría mejorar el empaque
13000000050,20241118,2,1467,8,0,1,0,Todo perfecto
13000000051,20240606,1,1484,8,0,1,0,Muy conforme con la calidad
13000000052,20240523,2,815,9,0,0,1,Atención muy buena
13000000053,20240705,2,500,9,0,0,1,Todo perfecto
13000000054,20241216,1,1048,10,0,0,1,
13000000055,20240414,2,19,7,0,1,0,Entrega rápida y producto excelente
13000000056,20241005,1,804,7,0,1,0,Podría mejorar el empaque
13000000057,20241023,1,500,9,0,0,1,Entrega rápida y producto excelente
13000000058,20250618,1,1179,7,0,1,0,Podría mejorar el empaque
13000000059,20250405,1,902,9,0,0,1,Entrega rápida y producto excelente
13000000060,20240302,2,548,6,1,0,0,Atención muy buena
13000000061,20240115,2,1335,9,0,0,1,Volvería a comprar
13000000062,20240724,2,903,10,0,0,1,
13000000063,20250426,2,807,8,0,1,0,Todo perfecto
13000000064,20250328,1,43,7,0,1,0,Tardó un poco más de lo esperado
13000000065,20250430,1,1189,8,0,1,0,Todo perfecto
13000000066,20240630,2,554,7,0,1,0,Entrega rápida y producto excelente
13000000067,20250125,2,1411,9,0,0,1,Podría mejorar el empaque
13000000068,20240218,2,990,2,1,0,0,Podría mejorar el empaque
13000000069,20240430,1,581,8,0,1,0,Entrega rápida y producto excelente
13000000070,20250603,1,1214,2,1,0,0,Muy conforme con la calidad
13000000071,20250604,2,1182,8,0,1,0,
13000000072,20241015,1,56,9,0,0,1,Muy conforme con la calidad
13000000073,20240809,2,1443,9,0,0,1,Muy conforme con la calidad
13000000074,20240924,2,822,9,0,0,1,Podría mejorar el empaque
13000000075,20250727,2,18,7,0,1,0,Atención muy buena
13000000076,20241212,2,436,8,0,1,0,Podría mejorar el empaque
13000000077,20240815,1,558,9,0,0,1,Volvería a comprar
13000000078,20250426,1,1202,9,0,0,1,Todo perfecto
13000000079,20241006,1,1412,0,1,0,0,Podría mejorar el empaque
13000000080,20250302,1,1336,6,1,0,0,Tardó un poco más de lo esperado
13000000081,20250916,2,1336,7,0,1,0,Muy conforme con la calidad
13000000082,20241209,1,1224,10,0,0,1,
13000000083,20240728,2,859,9,0,0,1,Atención muy buena
13000000084,20240128,2,818,10,0,0,1,Volvería a comprar
13000000085,20241026,1,816,6,1,0,0,Entrega rápida y producto excelente
13000000086,20241016,2,653,9,0,0,1,Muy conforme con la calidad
13000000087,20241214,2,1056,8,0,1,0,Tardó un poco más de lo esperado
13000000088,20240205,2,1037,7,0,1,0,Entrega rápida y producto excelente
13000000089,20241228,1,959,8,0,1,0,Podría mejorar el empaque
13000000090,20241228,2,1406,6,1,0,0,Atención muy buena
13000000091,20250702,2,1296,9,0,0,1,Entrega rápida y producto excelente
13000000092,20250815,2,629,5,1,0,0,Atención muy buena
13000000093,20240306,1,439,4,1,0,0,Tardó un poco más de lo esperado
13000000094,20250901,2,1423,8,0,1,0,Todo perfecto
13000000095,20240529,1,1336,8,0,1,0,Podría mejorar el empaque
13000000096,20250824,1,1453,6,1,0,0,
13000000097,20240807,2,722,8,0,1,0,Podría mejorar el empaque
13000000098,20240808,2,616,10,0,0,1,Volvería a comprar
13000000099,20240815,2,1104,10,0,0,1,Todo perfecto
13000000100,20241017,2,1004,4,1,0,0,Tardó un poco más de lo esperado
13000000101,20240408,1,304,9,0,0,1,Podría mejorar el empaque
13000000102,20240114,1,114,10,0,0,1,Atención muy buena
13000000103,20241008,1,248,9,0,0,1,Entrega rápida y producto excelente
13000000104,20240518,2,208,5,1,0,0,Podría mejorar el empaque
13000000105,20240120,2,445,10,0,0,1,Tardó un poco más de lo esperado
13000000106,20240214,1,1304,10,0,0,1,Volvería a comprar
13000000107,20240829,2,1493,7,0,1,0,Muy conforme con la calidad
13000000108,20240822,2,1123,8,0,1,0,Entrega rápida y producto excelente
13000000109,20250724,1,174,5,1,0,0,Podría mejorar el empaque
13000000110,20250814,2,825,8,0,1,0,Podría mejorar el empaque
13000000111,20250615,1,1120,4,1,0,0,Todo perfecto
13000000112,20240112,2,1101,3,1,0,0,Atención muy buena
