payment_id,order_id,date_sk,method,status,amount
7000000000,1000000000,20241127,CARD,PAID,63636.0
7000000001,1000000001,,GATEWAY,PENDING,78146.4
7000000002,1000000002,20250228,CARD,PAID,32064.6
7000000003,1000000003,20250302,CARD,PAID,30855.0
7000000004,1000000004,20240401,CARD,PAID,53451.75
7000000005,1000000005,20240313,CASH,PAID,29040.0
7000000006,1000000006,20250717,CARD,REFUNDED,18442.5
7000000007,1000000007,20241114,CARD,PAID,17535.0
7000000008,1000000008,20240825,CARD,PAID,109011.0
7000000009,1000000009,20240331,GATEWAY,PAID,16718.25
7000000010,1000000010,20240314,TRANSFER,REFUNDED,17787.0
7000000011,1000000011,20250617,CASH,PAID,41309.4
7000000012,1000000012,20240812,CARD,PAID,42688.8
7000000013,1000000013,20250323,CASH,PAID,123283.88
7000000014,1000000014,20250820,CARD,PAID,15129.6
7000000015,1000000015,,CARD,FAILED,29659.2
7000000016,1000000016,20250829,GATEWAY,PAID,28642.8
7000000017,1000000017,20250220,CARD,PAID,80912.7
7000000018,1000000018,,GATEWAY,FAILED,100107.9
7000000019,1000000019,20250423,CARD,PAID,46023.24
7000000020,1000000020,20240506,CARD,PAID,59895.0
7000000021,1000000021,20250925,CARD,PAID,29659.2
7000000022,1000000022,20240402,TRANSFER,REFUNDED,29040.0
7000000023,1000000023,20250708,CASH,PAID,82764.0
7000000024,1000000024,20250303,CARD,PAID,14229.6
7000000025,1000000025,20250827,CARD,PAID,86005.88
7000000026,1000000026,20241215,CARD,PAID,17535.0
7000000027,1000000027,20241202,CARD,PAID,28488.0
7000000028,1000000028,20240518,CARD,PAID,14520.0
7000000029,1000000029,20250914,CARD,PAID,79235.4
7000000030,1000000030,20250611,CARD,PAID,41382.0
7000000031,1000000031,20250513,CASH,PAID,28459.2
7000000032,1000000032,20250316,CARD,PAID,33870.0
7000000033,1000000033,20240608,CASH,PAID,17787.0
7000000034,1000000034,20241119,CASH,PAID,103318.88
7000000035,1000000035,20240113,CARD,PAID,26136.0
7000000036,1000000036,20240926,CARD,PAID,61158.0
7000000037,1000000037,20240127,CARD,PAID,31082.16
7000000038,1000000038,20240202,CARD,PAID,14229.6
7000000039,1000000039,20240523,CARD,PAID,71583.6
7000000040,1000000040,,CARD,FAILED,14994.0
7000000041,1000000041,20240115,CASH,PAID,29657.1
7000000042,1000000042,20240928,GATEWAY,PAID,13914.6
7000000043,1000000043,20240522,CARD,PAID,48816.0
7000000044,1000000044,20250905,GATEWAY,PAID,90435.0
7000000045,1000000045,20240203,GATEWAY,PAID,44460.0
7000000046,1000000046,20240115,CARD,PAID,39930.0
7000000047,1000000047,20240308,CASH,PAID,13068.0
7000000048,1000000048,,CARD,PENDING,28459.2
7000000049,1000000049,20240813,TRANSFER,PAID,49005.0
7000000050,1000000050,20240725,GATEWAY,PAID,35685.0
7000000051,1000000051,20240918,CARD,PAID,38252.7
7000000052,1000000052,20241106,CARD,PAID,85377.6
7000000053,1000000053,,CARD,FAILED,33570.0
7000000054,1000000054,20240318,CASH,PAID,14941.08
7000000055,1000000055,20250724,CARD,PAID,51727.5
7000000056,1000000056,20250415,CARD,PAID,87140.25
7000000057,1000000057,20250223,CASH,PAID,34394.25
7000000058,1000000058,,CARD,FAILED,53953.5
7000000059,1000000059,20240703,CARD,PAID,77682.0
7000000060,1000000060,,CARD,FAILED,35283.6
7000000061,1000000061,20250303,CARD,PAID,15720.0
7000000062,1000000062,20241224,TRANSFER,PAID,54450.0
7000000063,1000000063,20240601,GATEWAY,PAID,46323.24
7000000064,1000000064,20250307,GATEWAY,PAID,19168.5
7000000065,1000000065,20240918,GATEWAY,PAID,43888.8
7000000066,1000000066,,GATEWAY,FAILED,43888.8
7000000067,1000000067,20250412,GATEWAY,REFUNDED,18687.0
7000000068,1000000068,20241204,CARD,PAID,102166.35
7000000069,1000000069,20240614,CARD,PAID,53361.0
7000000070,1000000070,20250728,CARD,PAID,15420.0
7000000071,1000000071,20240724,CARD,PAID,14229.6
7000000072,1000000072,20240204,GATEWAY,PAID,17018.25
7000000073,1000000073,20241209,CARD,PAID,19576.35
7000000074,1000000074,20241214,CARD,PAID,69071.4
7000000075,1000000075,20250324,CARD,PAID,36474.0
7000000076,1000000076,20240302,CARD,PAID,29659.2
7000000077,1000000077,20241206,CASH,PAID,28459.2
7000000078,1000000078,20250112,CARD,PAID,49186.5
7000000079,1000000079,20250918,GATEWAY,PAID,40404.0
7000000080,1000000080,20241111,CARD,PAID,18687.0
7000000081,1000000081,20250202,CARD,PAID,64788.0
7000000082,1000000082,20250921,CARD,PAID,42582.0
7000000083,1000000083,20240213,GATEWAY,REFUNDED,47301.0
7000000084,1000000084,20241127,GATEWAY,PAID,19050.0
7000000085,1000000085,20250302,GATEWAY,PAID,16441.08
7000000086,1000000086,20250820,GATEWAY,PAID,14268.0
7000000087,1000000087,,CARD,FAILED,14994.0
7000000088,1000000088,20240203,GATEWAY,PAID,69144.0
7000000089,1000000089,20250620,CARD,PAID,18442.5
7000000090,1000000090,20240129,CARD,PAID,45458.25
7000000091,1000000091,20240219,GATEWAY,PAID,110342.92
7000000092,1000000092,20240615,GATEWAY,PAID,37200.0
7000000093,1000000093,20241115,CASH,PAID,102456.75
7000000094,1000000094,20241229,CASH,PAID,90387.0
7000000095,1000000095,20250926,GATEWAY,PAID,59897.1
7000000096,1000000096,20250524,CASH,PAID,42688.8
7000000097,1000000097,20240614,CASH,PAID,18676.35
7000000098,1000000098,20250117,CARD,PAID,44351.1
7000000099,1000000099,20240228,CARD,PAID,14520.0
7000000100,1000000100,,CARD,FAILED,28909.08
7000000101,1000000101,20240331,GATEWAY,PAID,44460.0
7000000102,1000000102,20241120,CARD,PAID,43888.8
7000000103,1000000103,,CASH,PENDING,37243.8
7000000104,1000000104,20240324,CARD,REFUNDED,37500.0
7000000105,1000000105,20240512,CARD,PAID,27336.0
7000000106,1000000106,20250210,GATEWAY,PAID,19050.0
7000000107,1000000107,20240522,CARD,PAID,42064.2
7000000108,1000000108,20250704,CASH,PAID,56029.05
7000000109,1000000109,20240424,CARD,PAID,39930.0
7000000110,1000000110,,TRANSFER,FAILED,82364.7
7000000111,1000000111,20241221,GATEWAY,PAID,19876.35
7000000112,1000000112,20250302,CASH,PAID,92891.7
7000000113,1000000113,,CARD,FAILED,15652.56
7000000114,1000000114,20240919,TRANSFER,PAID,11761.2
7000000115,1000000115,20240219,CARD,REFUNDED,27636.0
7000000116,1000000116,20240704,CARD,PAID,49116.0
7000000117,1000000117,20250120,CARD,PAID,30240.0
7000000118,1000000118,20250818,CARD,PAID,47857.68
7000000119,1000000119,20250716,CARD,PAID,17787.0
7000000120,1000000120,20240421,CARD,PAID,14229.6
7000000121,1000000121,20241220,TRANSFER,PAID,45520.2
7000000122,1000000122,20250830,CASH,PAID,43560.0
7000000123,1000000123,,CARD,FAILED,18987.0
7000000124,1000000124,20240206,GATEWAY,PAID,67367.64
7000000125,1000000125,20240711,TRANSFER,PAID,62073.0
7000000126,1000000126,20240612,CASH,PAID,18150.0
7000000127,1000000127,20240229,CARD,PAID,69988.5
7000000128,1000000128,,CARD,FAILED,101470.2
7000000129,1000000129,20250920,CARD,PAID,76858.8
7000000130,1000000130,20250523,CASH,PAID,14701.5
7000000131,1000000131,20240125,CASH,PAID,47916.0
7000000132,1000000132,20240728,CARD,PAID,33216.6
7000000133,1000000133,20240616,TRANSFER,PAID,18150.0
7000000134,1000000134,20240108,CASH,PAID,75358.8
7000000135,1000000135,20240601,CASH,PAID,39930.0
7000000136,1000000136,20250122,CARD,PAID,34485.0
7000000137,1000000137,20241118,GATEWAY,PAID,14229.6
7000000138,1000000138,20240106,CARD,PAID,42882.0
7000000139,1000000139,20240408,CARD,PAID,17535.0
7000000140,1000000140,20250220,CASH,PAID,16008.3
7000000141,1000000141,20241203,TRANSFER,REFUNDED,14374.8
7000000142,1000000142,20250626,CARD,REFUNDED,62854.26
7000000143,1000000143,20240608,CARD,PAID,80586.0
7000000144,1000000144,,CARD,FAILED,35937.0
7000000145,1000000145,20250721,GATEWAY,PAID,37800.0
7000000146,1000000146,20240505,CARD,PAID,100951.88
7000000147,1000000147,20241208,CARD,PAID,72701.4
7000000148,1000000148,20250624,CARD,PAID,43888.8
7000000149,1000000149,20250123,GATEWAY,PAID,17235.0
7000000150,1000000150,20250531,CARD,PAID,39131.4
7000000151,1000000151,20240417,CARD,PAID,42688.8
7000000152,1000000152,20240109,CARD,PAID,11761.2
7000000153,1000000153,,CARD,FAILED,13068.0
7000000154,1000000154,20240702,CASH,PAID,51455.25
7000000155,1000000155,20240212,CARD,PAID,15420.0
7000000156,1000000156,20241029,CASH,PAID,51727.5
7000000157,1000000157,,TRANSFER,FAILED,71692.5
7000000158,1000000158,20240425,CARD,PAID,36300.0
7000000159,1000000159,20240714,CARD,PAID,16141.08
7000000160,1000000160,20240614,TRANSFER,PAID,35574.0
7000000161,1000000161,20241022,GATEWAY,PAID,55350.0
7000000162,1000000162,20250801,CARD,PAID,27588.0
7000000163,1000000163,20240227,CARD,PAID,27036.0
7000000164,1000000164,20250223,CARD,PAID,77130.0
7000000165,1000000165,20250828,GATEWAY,PAID,29959.2
7000000166,1000000166,20250729,GATEWAY,PAID,53744.25
7000000167,1000000167,,CARD,FAILED,58172.85
7000000168,1000000168,,CARD,FAILED,50205.0
7000000169,1000000169,20240709,GATEWAY,PAID,14268.0
7000000170,1000000170,20240329,TRANSFER,PAID,36300.0
7000000171,1000000171,,CARD,PENDING,15429.6
7000000172,1000000172,20240507,GATEWAY,PAID,28488.0
7000000173,1000000173,20250618,CARD,PAID,39315.0
7000000174,1000000174,20240908,TRANSFER,PAID,14229.6
7000000175,1000000175,20240602,GATEWAY,PAID,15420.0
7000000176,1000000176,20250227,CASH,PAID,17968.5
7000000177,1000000177,20241125,CARD,PAID,16718.25
7000000178,1000000178,20250504,CARD,PAID,16335.0
7000000179,1000000179,20250813,GATEWAY,PAID,88746.0
7000000180,1000000180,20240522,GATEWAY,PAID,31692.0
7000000181,1000000181,20241113,CARD,PAID,29359.2
7000000182,1000000182,20240910,GATEWAY,PAID,31546.8
7000000183,1000000183,20241028,TRANSFER,PAID,32670.0
7000000184,1000000184,20250513,CASH,PAID,16335.0
7000000185,1000000185,20240720,CARD,PAID,73611.24
7000000186,1000000186,20240731,GATEWAY,PAID,14694.0
7000000187,1000000187,20250214,CARD,REFUNDED,39204.0
7000000188,1000000188,20250825,CARD,PAID,32670.0
7000000189,1000000189,20240504,GATEWAY,PAID,45723.24
7000000190,1000000190,20240606,CARD,PAID,14229.6
7000000191,1000000191,,CARD,FAILED,106896.24
7000000192,1000000192,20240310,CASH,PAID,14520.0
7000000193,1000000193,20240215,CARD,PAID,40404.0
7000000194,1000000194,20250915,GATEWAY,PAID,54450.0
7000000195,1000000195,20250301,CARD,PAID,56666.4
7000000196,1000000196,20250817,GATEWAY,PAID,37500.0
7000000197,1000000197,20240410,GATEWAY,PAID,14268.0
7000000198,1000000198,20240203,CARD,PAID,36183.6
7000000199,1000000199,20250320,GATEWAY,PAID,59280.0
7000000200,1000000200,20240927,GATEWAY,PAID,27036.0
7000000201,1000000201,20241117,GATEWAY,REFUNDED,50749.5
7000000202,1000000202,20250329,CARD,PAID,43560.0
7000000203,1000000203,20241118,CARD,PAID,39204.0
7000000204,1000000204,,GATEWAY,FAILED,50205.0
7000000205,1000000205,20241001,CARD,PAID,17787.0
7000000206,1000000206,20250728,CARD,PAID,29659.2
7000000207,1000000207,20250509,GATEWAY,PAID,15841.08
7000000208,1000000208,20250414,CASH,PAID,53905.5
7000000209,1000000209,20250404,CARD,PAID,31692.0
7000000210,1000000210,20250321,CARD,PAID,17835.0
7000000211,1000000211,20250720,CASH,REFUNDED,80803.8
7000000212,1000000212,20250219,CARD,PAID,15129.6
7000000213,1000000213,20240418,GATEWAY,PAID,20557.5
7000000214,1000000214,20240722,GATEWAY,PAID,28342.8
7000000215,1000000215,20240201,CARD,PAID,62628.15
7000000216,1000000216,20250512,GATEWAY,PAID,19866.75
7000000217,1000000217,20240407,CARD,PAID,72554.62
7000000218,1000000218,20240707,CARD,PAID,39750.6
7000000219,1000000219,20240612,CASH,PAID,54450.0
7000000220,1000000220,20250921,CARD,PAID,14694.0
7000000221,1000000221,20250507,CARD,PAID,28459.2
7000000222,1000000222,20240831,CARD,PAID,26136.0
7000000223,1000000223,20241224,CASH,PAID,27442.8
7000000224,1000000224,20250323,CARD,PAID,50205.0
7000000225,1000000225,20250807,CARD,PAID,41164.2
7000000226,1000000226,20240718,CARD,PAID,36483.6
7000000227,1000000227,20240720,GATEWAY,PAID,43888.8
7000000228,1000000228,20250330,CARD,PAID,43588.8
7000000229,1000000229,,CARD,FAILED,16335.0
7000000230,1000000230,20241230,GATEWAY,PAID,40104.0
7000000231,1000000231,20240610,GATEWAY,PAID,58072.5
7000000232,1000000232,20250222,GATEWAY,PAID,45892.56
7000000233,1000000233,20241122,CARD,PAID,19050.0
7000000234,1000000234,20250530,CARD,PAID,29659.2
7000000235,1000000235,,CASH,FAILED,26136.0
7000000236,1000000236,20250106,CASH,PAID,29040.0
7000000237,1000000237,20241117,CASH,PAID,43560.0
7000000238,1000000238,20250324,CASH,PAID,25613.28
7000000239,1000000239,20240221,GATEWAY,PAID,63408.6
7000000240,1000000240,20241022,CARD,REFUNDED,48090.0
7000000241,1000000241,20241012,CASH,PAID,71874.0
7000000242,1000000242,,GATEWAY,FAILED,46023.24
7000000243,1000000243,20250610,CARD,PAID,19965.0
7000000244,1000000244,20240914,CARD,PAID,24829.2
7000000245,1000000245,20250509,CASH,REFUNDED,48823.5
7000000246,1000000246,,GATEWAY,FAILED,74596.5
7000000247,1000000247,20241202,GATEWAY,PAID,19576.35
7000000248,1000000248,20241028,TRANSFER,PAID,13068.0
7000000249,1000000249,20240421,CASH,PAID,47916.0
7000000250,1000000250,20240924,CARD,PAID,52955.25
7000000251,1000000251,20240317,CASH,PAID,41382.0
7000000252,1000000252,20240302,CASH,PAID,53361.0
7000000253,1000000253,20250426,GATEWAY,REFUNDED,56018.16
7000000254,1000000254,20241014,TRANSFER,PAID,25613.28
7000000255,1000000255,20240814,GATEWAY,PAID,18687.0
7000000256,1000000256,20241001,GATEWAY,PAID,29659.2
7000000257,1000000257,20250601,CARD,PAID,70059.0
7000000258,1000000258,20241229,CARD,PAID,35385.0
7000000259,1000000259,20250907,GATEWAY,REFUNDED,32805.12
7000000260,1000000260,20241213,CARD,PAID,41130.0
7000000261,1000000261,20250815,CARD,PAID,29040.0
7000000262,1000000262,20241120,CARD,PAID,43588.8
7000000263,1000000263,20250101,CARD,PAID,49905.0
7000000264,1000000264,20250820,CARD,PAID,69750.45
7000000265,1000000265,20240429,GATEWAY,PAID,64468.56
7000000266,1000000266,20250508,GATEWAY,PAID,48325.95
7000000267,1000000267,20240301,CARD,PAID,33870.0
7000000268,1000000268,,CARD,FAILED,13794.0
7000000269,1000000269,,CARD,FAILED,83617.05
7000000270,1000000270,20240216,CASH,PAID,14229.6
7000000271,1000000271,20240213,CARD,REFUNDED,87448.8
