shipment_id,order_id,shipped_date_sk,delivered_date_sk,carrier,status,lead_time_days,province_sk
9000000000,1000000000,20241127,20241130,Correo Argentino,DELIVERED,3.0,1
9000000001,1000000001,20240201,20240205,Correo Argentino,READY,4.0,1
9000000002,1000000002,20250227,20250301,Correo Argentino,DELIVERED,2.0,1
9000000003,1000000003,20250302,20250306,Correo Argentino,DELIVERED,4.0,1
9000000004,1000000004,20240330,20240331,PICKUP,DELIVERED,1.0,3
9000000005,1000000005,20240312,20240313,PICKUP,DELIVERED,1.0,2
9000000006,1000000006,20250716,20250720,Correo Argentino,DELIVERED,4.0,2
9000000007,1000000007,20241112,20241115,Correo Argentino,DELIVERED,3.0,1
9000000008,1000000008,20240826,20240828,Correo Argentino,DELIVERED,2.0,1
9000000009,1000000009,20240331,20240403,Correo Argentino,SHIPPED,3.0,4
9000000010,1000000010,20240313,20240314,PICKUP,DELIVERED,1.0,1
9000000011,1000000011,20250617,20250618,PICKUP,DELIVERED,1.0,3
9000000012,1000000012,20240809,20240810,PICKUP,DELIVERED,1.0,4
9000000013,1000000013,20250323,20250324,PICKUP,SHIPPED,1.0,1
9000000014,1000000014,20250819,20250824,Correo Argentino,SHIPPED,5.0,1
9000000015,1000000015,,,Correo Argentino,CANCELLED,,1
9000000016,1000000016,20250828,20250902,Correo Argentino,DELIVERED,5.0,1
9000000017,1000000017,20250219,20250220,PICKUP,DELIVERED,1.0,2
9000000018,1000000018,,,Correo Argentino,CANCELLED,,1
9000000019,1000000019,20250422,20250426,Correo Argentino,DELIVERED,4.0,1
9000000020,1000000020,20240507,20240511,Correo Argentino,DELIVERED,4.0,1
9000000021,1000000021,20250924,20250926,Correo Argentino,DELIVERED,2.0,1
9000000022,1000000022,20240331,20240401,PICKUP,DELIVERED,1.0,1
9000000023,1000000023,20250705,20250706,PICKUP,DELIVERED,1.0,4
9000000024,1000000024,20250302,20250303,PICKUP,DELIVERED,1.0,2
9000000025,1000000025,20250827,20250831,Correo Argentino,DELIVERED,4.0,2
9000000026,1000000026,20241213,20241216,Correo Argentino,DELIVERED,3.0,1
9000000027,1000000027,20241203,20241206,Correo Argentino,DELIVERED,3.0,1
9000000028,1000000028,20240518,20240522,Correo Argentino,DELIVERED,4.0,1
9000000029,1000000029,20250915,20250920,Correo Argentino,DELIVERED,5.0,2
9000000030,1000000030,20250609,20250610,PICKUP,SHIPPED,1.0,3
9000000031,1000000031,20250510,20250511,PICKUP,SHIPPED,1.0,3
9000000032,1000000032,20250316,20250318,Correo Argentino,DELIVERED,2.0,1
9000000033,1000000033,20240608,20240609,PICKUP,DELIVERED,1.0,3
9000000034,1000000034,20241117,20241118,PICKUP,DELIVERED,1.0,2
9000000035,1000000035,20240112,20240113,PICKUP,DELIVERED,1.0,1
9000000036,1000000036,20240925,20240928,Correo Argentino,DELIVERED,3.0,2
9000000037,1000000037,20240127,20240131,Correo Argentino,DELIVERED,4.0,1
9000000038,1000000038,20240202,20240203,PICKUP,DELIVERED,1.0,1
9000000039,1000000039,20240523,20240524,PICKUP,DELIVERED,1.0,1
9000000040,1000000040,,,Correo Argentino,CANCELLED,,1
9000000041,1000000041,20240114,20240115,PICKUP,DELIVERED,1.0,4
9000000042,1000000042,20240928,20240930,Correo Argentino,DELIVERED,2.0,1
9000000043,1000000043,20240522,20240527,Correo Argentino,SHIPPED,5.0,1
9000000044,1000000044,20250903,20250905,Correo Argentino,DELIVERED,2.0,2
9000000045,1000000045,20240202,20240207,Correo Argentino,DELIVERED,5.0,1
9000000046,1000000046,20240113,20240117,Correo Argentino,DELIVERED,4.0,3
9000000047,1000000047,20240308,20240309,PICKUP,DELIVERED,1.0,2
9000000048,1000000048,20240913,20240914,PICKUP,READY,1.0,2
9000000049,1000000049,20240811,20240812,PICKUP,DELIVERED,1.0,2
9000000050,1000000050,20240726,20240730,Correo Argentino,DELIVERED,4.0,3
9000000051,1000000051,20240916,20240919,Correo Argentino,DELIVERED,3.0,1
9000000052,1000000052,20241105,20241107,Correo Argentino,DELIVERED,2.0,1
9000000053,1000000053,,,Correo Argentino,CANCELLED,,1
9000000054,1000000054,20240316,20240317,PICKUP,SHIPPED,1.0,3
9000000055,1000000055,20250723,20250724,PICKUP,SHIPPED,1.0,1
9000000056,1000000056,20250413,20250416,Correo Argentino,DELIVERED,3.0,1
9000000057,1000000057,20250221,20250222,PICKUP,DELIVERED,1.0,3
9000000058,1000000058,,,Correo Argentino,CANCELLED,,4
9000000059,1000000059,20240702,20240707,Correo Argentino,DELIVERED,5.0,2
9000000060,1000000060,,,PICKUP,CANCELLED,,3
9000000061,1000000061,20250302,20250305,Correo Argentino,DELIVERED,3.0,1
9000000062,1000000062,20241223,20241224,PICKUP,DELIVERED,1.0,4
9000000063,1000000063,20240531,20240602,Correo Argentino,DELIVERED,2.0,1
9000000064,1000000064,20250305,20250307,Correo Argentino,DELIVERED,2.0,1
9000000065,1000000065,20240918,20240922,Correo Argentino,DELIVERED,4.0,1
9000000066,1000000066,,,Correo Argentino,CANCELLED,,1
9000000067,1000000067,20250412,20250417,Correo Argentino,DELIVERED,5.0,1
9000000068,1000000068,20241202,20241205,Correo Argentino,SHIPPED,3.0,1
9000000069,1000000069,20240613,20240618,Correo Argentino,DELIVERED,5.0,1
9000000070,1000000070,20250726,20250730,Correo Argentino,SHIPPED,4.0,4
9000000071,1000000071,20240722,20240723,PICKUP,DELIVERED,1.0,4
9000000072,1000000072,20240203,20240208,Correo Argentino,SHIPPED,5.0,2
9000000073,1000000073,20241208,20241211,Correo Argentino,SHIPPED,3.0,2
9000000074,1000000074,20241215,20241221,Correo Argentino,DELIVERED,6.0,3
9000000075,1000000075,20250323,20250327,Correo Argentino,DELIVERED,4.0,2
9000000076,1000000076,20240302,20240304,Correo Argentino,DELIVERED,2.0,1
9000000077,1000000077,20241204,20241205,PICKUP,SHIPPED,1.0,1
9000000078,1000000078,20250110,20250113,Correo Argentino,DELIVERED,3.0,1
9000000079,1000000079,20250917,20250921,Correo Argentino,SHIPPED,4.0,1
9000000080,1000000080,20241112,20241117,Correo Argentino,DELIVERED,5.0,1
9000000081,1000000081,20250203,20250206,Correo Argentino,DELIVERED,3.0,1
9000000082,1000000082,20250922,20250925,Correo Argentino,DELIVERED,3.0,1
9000000083,1000000083,20240211,20240215,Correo Argentino,DELIVERED,4.0,1
9000000084,1000000084,20241126,20241129,Correo Argentino,SHIPPED,3.0,2
9000000085,1000000085,20250302,20250304,Correo Argentino,DELIVERED,2.0,1
9000000086,1000000086,20250819,20250821,Correo Argentino,DELIVERED,2.0,1
9000000087,1000000087,,,Correo Argentino,CANCELLED,,3
9000000088,1000000088,20240204,20240209,Correo Argentino,DELIVERED,5.0,1
9000000089,1000000089,20250619,20250622,Correo Argentino,DELIVERED,3.0,1
9000000090,1000000090,20240128,20240201,Correo Argentino,DELIVERED,4.0,1
9000000091,1000000091,20240218,20240220,Correo Argentino,DELIVERED,2.0,4
9000000092,1000000092,20240614,20240616,Correo Argentino,DELIVERED,2.0,1
9000000093,1000000093,20241114,20241115,PICKUP,DELIVERED,1.0,2
9000000094,1000000094,20241227,20241228,PICKUP,SHIPPED,1.0,3
9000000095,1000000095,20250926,20250930,Correo Argentino,DELIVERED,4.0,3
9000000096,1000000096,20250523,20250524,PICKUP,DELIVERED,1.0,4
9000000097,1000000097,20240612,20240613,PICKUP,DELIVERED,1.0,2
9000000098,1000000098,20250117,20250122,Correo Argentino,DELIVERED,5.0,1
9000000099,1000000099,20240228,20240303,Correo Argentino,DELIVERED,4.0,2
9000000100,1000000100,,,Correo Argentino,CANCELLED,,4
9000000101,1000000101,20240331,20240405,Correo Argentino,SHIPPED,5.0,1
9000000102,1000000102,20241120,20241124,Correo Argentino,DELIVERED,4.0,1
9000000103,1000000103,20240325,20240326,PICKUP,READY,1.0,4
9000000104,1000000104,20240324,20240328,Correo Argentino,DELIVERED,4.0,1
9000000105,1000000105,20240513,20240516,Correo Argentino,DELIVERED,3.0,4
9000000106,1000000106,20250209,20250211,Correo Argentino,DELIVERED,2.0,1
9000000107,1000000107,20240523,20240528,Correo Argentino,DELIVERED,5.0,1
9000000108,1000000108,20250704,20250705,PICKUP,DELIVERED,1.0,3
9000000109,1000000109,20240422,20240423,PICKUP,DELIVERED,1.0,3
9000000110,1000000110,,,PICKUP,CANCELLED,,2
9000000111,1000000111,20241221,20241225,Correo Argentino,DELIVERED,4.0,1
9000000112,1000000112,20250228,20250301,PICKUP,SHIPPED,1.0,2
9000000113,1000000113,,,PICKUP,CANCELLED,,1
9000000114,1000000114,20240917,20240918,PICKUP,SHIPPED,1.0,1
9000000115,1000000115,20240220,20240222,Correo Argentino,DELIVERED,2.0,4
9000000116,1000000116,20240702,20240705,Correo Argentino,DELIVERED,3.0,1
9000000117,1000000117,20250120,20250123,Correo Argentino,DELIVERED,3.0,1
9000000118,1000000118,20250817,20250819,Correo Argentino,DELIVERED,2.0,4
9000000119,1000000119,20250716,20250717,PICKUP,DELIVERED,1.0,3
9000000120,1000000120,20240419,20240421,Correo Argentino,DELIVERED,2.0,1
9000000121,1000000121,20241220,20241221,PICKUP,DELIVERED,1.0,3
9000000122,1000000122,20250830,20250831,PICKUP,DELIVERED,1.0,1
9000000123,1000000123,,,Correo Argentino,CANCELLED,,2
9000000124,1000000124,20240207,20240211,Correo Argentino,DELIVERED,4.0,1
9000000125,1000000125,20240709,20240710,PICKUP,DELIVERED,1.0,4
9000000126,1000000126,20240612,20240613,PICKUP,DELIVERED,1.0,4
9000000127,1000000127,20240229,20240304,Correo Argentino,DELIVERED,4.0,1
9000000128,1000000128,,,Correo Argentino,CANCELLED,,4
9000000129,1000000129,20250918,20250921,Correo Argentino,DELIVERED,3.0,1
9000000130,1000000130,20250521,20250522,PICKUP,SHIPPED,1.0,4
9000000131,1000000131,20240125,20240126,PICKUP,DELIVERED,1.0,3
9000000132,1000000132,20240727,20240801,Correo Argentino,DELIVERED,5.0,1
